16,5
92,19
39,24
37,18
6,18
73,26
19,64
55,78
64,21
52,99
50,25
22,66
49,81
33,33
69,41
44,94
10,90
38,86
14,11
25,24
14,89
95,67
72,38
50,33
41,22
78,57
82,92
28,58
73,39
27,86
55,44
6,61
53,96
96,6
11,49
56,80
37,3
28,3
1,4
1,23
54,7
29,40
55,53
21,50
42,84
37,33
70,88
71,21
88,67
57,55
47,7
47,25
55,100
18,12
26,15
48,73
48,88
50,10
17,100
93,65
54,81
49,50
85,38
50,30
12,17
98,90
15,98
30,29
4,46
4,29
99,8
2,79
18,18
97,19
2,62
65,96
55,40
29,32
60,26
72,22
86,3
90,44
100,49
69,71
54,38
9,57
92,24
40,4
47,100
39,94
72,17
11,42
56,3
13,97
42,37
90,23
75,5
16,98
14,41
22,41
